state,total_cases,total_deaths,mortality_rate,location
Alabama,1648385,21631,0.013122541,East
Arizona,2451062,33190,0.013541069,West
Arkansas,1008303,13068,0.01296039,East
California,12169158,104277,0.008568958,West
Colorado,1771010,14245,0.008043433,West
Connecticut,978456,12270,0.012540165,East
Delaware,332861,3352,0.01007027,East
Florida,7542869,87141,0.011552766,East
Georgia,2984923,41055,0.013754124,East
Idaho,522919,5456,0.010433738,West
Illinois,4107931,41618,0.010131134,East
Indiana,2054533,26179,0.012742068,East
Iowa,907421,10770,0.011868802,East
Kansas,940815,10232,0.010875677,West
Kentucky,1723443,18348,0.010646131,East
Louisiana,1580709,18835,0.011915539,East
Maine,319997,2981,0.009315712,East
Maryland,1369930,16672,0.012169965,East
Massachusetts,2230150,24441,0.010959353,East
Michigan,3068195,42311,0.013790193,East
Minnesota,1784263,14964,0.008386656,East
Mississippi,993035,13431,0.013525203,East
Missouri,1794207,23998,0.013375268,East
Montana,330875,3701,0.011185493,West
Nebraska,570835,5068,0.008878222,West
Nevada,892814,12093,0.013544814,West
New Hampshire,379689,3018,0.007948611,East
New Jersey,3057442,36097,0.011806275,East
New Mexico,673541,9110,0.013525531,West
New York,6805271,80138,0.011775872,East
North Carolina,3481732,29746,0.008543449,East
North Dakota,288106,2529,0.008778019,West
Ohio,3415254,42061,0.012315629,East
Oklahoma,1295832,16549,0.012770946,West
Oregon,967156,9451,0.00977195,West
Pennsylvania,3539135,50701,0.014325817,East
Rhode Island,461788,3915,0.008477916,East
South Carolina,1840458,20192,0.010971182,East
South Dakota,280525,3222,0.011485607,West
Tennessee,2459152,29035,0.011806916,East
Texas,8447168,94518,0.011189312,West
Utah,1093049,5316,0.00486346,West
Vermont,153198,939,0.006129323,East
Virginia,2298300,23782,0.010347648,East
Washington,1940704,15905,0.00819548,West
West Virginia,645710,8132,0.012593889,East
Wisconsin,2014524,16485,0.008183075,East
Wyoming,185800,2014,0.010839612,West
